# channel  phase_bin  observed  model  ns_surface  background  mdnse_contrib
52 0 670 646.006 288.337 357.669 0.053895801
52 1 604 628.133 270.464 357.669 0.054522059
52 2 591 597.195 239.527 357.668 0.0035927934
52 3 535 557.427 199.759 357.668 0.047086021
52 4 507 513.734 156.065 357.669 0.0042451774
52 5 458 470.984 113.316 357.668 0.015782167
52 6 436 433.648 75.979 357.669 0.00051787418
52 7 414 404.509 46.84 357.669 0.0084328344
52 8 353 383.719 26.05 357.669 0.088341297
52 9 392 377.024 19.354 357.67 0.020996228
52 10 401 391.149 33.479 357.67 0.0090846931
52 11 420 422.519 64.849 357.67 0.00059402669
52 12 460 462.567 104.897 357.67 0.00061688095
52 13 544 502.939 145.268 357.671 0.15783695
52 14 618 537.16 179.49 357.67 0.6117898
52 15 568 561.133 203.463 357.67 0.0044145223
52 16 594 572.537 214.867 357.67 0.043125136
52 17 538 570.931 213.262 357.669 0.10152184
52 18 526 557.411 199.742 357.669 0.092366215
52 19 545 534.336 176.667 357.669 0.010646084
52 20 497 504.529 146.86 357.669 0.0053066961
52 21 460 472.316 114.647 357.669 0.014200021
52 22 472 443.642 85.973 357.669 0.075283676
52 23 419 424.801 67.132 357.669 0.003150325
52 24 387 421.17 63.5 357.67 0.10930489
52 25 443 435.238 77.568 357.67 0.0056402311
52 26 460 467.629 109.958 357.671 0.0054485991
52 27 483 512.678 155.007 357.671 0.082455359
52 28 558 560.411 202.741 357.67 0.00054418184
52 29 608 602.546 244.876 357.67 0.0027847095
52 30 627 633.013 275.343 357.67 0.0033847924
52 31 671 647.988 290.318 357.67 0.049574501
53 0 640 639.581 280.801 358.78 1.6435301e-05
53 1 621 622.091 263.312 358.779 0.00011142923
53 2 568 591.867 233.088 358.779 0.053326771
53 3 537 553.064 194.285 358.779 0.02415778
53 4 541 510.483 151.704 358.779 0.087183299
53 5 468 468.862 110.083 358.779 6.9560734e-05
53 6 430 432.544 73.765 358.779 0.00060587612
53 7 427 404.233 45.454 358.779 0.048524519
53 8 382 384.074 25.294 358.78 0.00040268655
53 9 348 377.635 18.855 358.78 0.082216595
53 10 367 391.41 32.629 358.781 0.055780857
53 11 422 421.968 63.187 358.781 9.5862683e-08
53 12 476 461.058 102.277 358.781 0.020901001
53 13 497 500.531 141.75 358.781 0.0011671994
53 14 485 534.02 175.24 358.78 0.2249553
53 15 548 557.485 198.704 358.781 0.0084221756
53 16 585 568.632 209.852 358.78 0.025080769
53 17 595 567.023 208.244 358.779 0.073274339
53 18 555 553.74 194.961 358.779 0.00014862461
53 19 523 531.112 172.332 358.78 0.0061603517
53 20 478 501.923 143.144 358.779 0.05357731
53 21 487 470.429 111.65 358.779 0.025706743
53 22 500 442.43 83.651 358.779 0.31027164
53 23 456 424.055 65.276 358.779 0.095533438
53 24 425 420.561 61.78 358.781 0.0018446752
53 25 419 434.304 75.524 358.78 0.021926006
53 26 471 465.856 107.075 358.781 0.0024771457
53 27 523 509.743 150.962 358.781 0.016452812
53 28 517 556.253 197.472 358.781 0.14424319
53 29 598 597.309 238.528 358.781 4.4699814e-05
53 30 650 626.995 268.214 358.781 0.049544346
53 31 612 641.565 282.785 358.78 0.081828651
54 0 605 625.404 273.648 351.756 0.038974473
54 1 591 608.276 256.521 351.755 0.027940618
54 2 577 578.73 226.975 351.755 0.00028018303
